SYM,DATE,CLOSE,OPEN,MKT,SO,PF,B,RPP,PER,EPS,Y,D,FS,AV,SEC,INDUS,SENT
PBIP,2017-07-03 00:02:24.626267,18.16,18.34,163.74,9.02,8.34,0.2,348.68,244.09,0.07,0.66,0.03,0.59,29.86,10.0,65.0,0.1872769230769231
PMD,2017-07-03 00:02:25.310253,24.95,25.0,136.23,5.46,4.98,0.41,206.42,16.74,1.49,2.4,0.15,0.86,23.86,2.0,12.0,0
QCRH,2017-07-03 00:02:25.980730,47.4297,47.75,624.26,13.17,12.2,0.5,254.63,20.52,2.31,0.42,0.05,0.79,46.14,10.0,13.0,0.12112857142857143
QCOM,2017-07-03 00:02:26.628192,55.1,55.6,81.58,1.48,1.47,1.02,762.07,18.41,3.0,4.13,0.57,1.73,11.06,9.0,98.0,0.22899333333333335
RAVN,2017-07-03 00:02:27.721533,33.3,33.65,1.2,36.09,35.79,1.15,321.54,45.0,0.74,1.56,0.13,1.34,171.33,8.0,47.0,-0.004846666666666662
RICK,2017-07-03 00:02:28.519203,23.8562,24.3,231.7,9.72,8.98,0.52,67.62,23.84,1.0,0.5,0.03,1.4,84.91,3.0,66.0,0.04674666666666667
RRR,2017-07-03 00:02:29.994754,23.55,23.5,2.77,67.72,66.89,1.02,106.12,26.76,0.88,1.7,0.1,3.56,764.38,3.0,27.0,0.28601999999999994
SIGI,2017-07-03 00:02:30.689307,50.05,50.95,2.92,58.25,56.98,0.96,1.04,17.14,2.92,1.28,0.16,1.33,248.76,10.0,7.0,0.10668000000000001
SNH,2017-07-03 00:02:31.392859,20.44,20.49,4.86,237.54,234.33,0.66,2.35,34.86,0.59,7.63,0.39,2.49,1.65,3.0,75.0,0.5998733333333334
SFBS,2017-07-03 00:02:33.314254,36.89,37.05,1.95,52.83,44.7,0.99,575.43,23.57,1.57,0.54,0.05,8.62,153.88,10.0,13.0,0.21176666666666671
SCVL,2017-07-03 00:02:34.000790,20.8614,21.07,360.35,17.23,11.51,0.87,194.91,17.55,1.19,1.44,0.08,8.51,169.15,3.0,38.0,0.1449153846153846
SHBI,2017-07-03 00:02:34.983990,16.45,16.58,208.59,12.68,12.42,0.37,190.5,20.82,0.79,1.22,0.05,0.55,32.17,10.0,13.0,0.11839999999999999
SIFI,2017-07-03 00:02:35.660474,16.1,16.05,196.48,12.2,11.09,0.29,231.41,16.6,0.97,1.24,0.05,0.55,26.1,10.0,54.0,0.0
