SYM,DATE,CLOSE,OPEN,MKT,SO,PF,B,RPP,PER,EPS,Y,D,FS,AV,SEC,INDUS,SENT
MRVL,2017-07-03 23:19:40.517292,16.09,16.67,8.29,501.67,417.3,1.19,526.62,59.55,0.27,1.49,0.06,1.52,7.27,9.0,86.0,0.0026666666666666653
MAT,2017-07-03 23:19:41.083311,21.0,21.54,7.38,342.56,341.47,0.86,166.34,26.57,0.79,2.86,0.15,6.0,6.95,4.0,46.0,0.26516
MATW,2017-07-03 23:19:41.851692,62.95,61.4,1.97,32.2,30.96,0.98,144.56,28.48,2.21,1.08,0.17,1.05,90.36,8.0,69.0,-0.128
MXIM,2017-07-03 23:19:42.418157,44.19,45.14,12.69,282.55,279.95,1.08,313.29,25.4,1.74,2.99,0.33,1.4,2.19,9.0,86.0,0.14918666666666666
MGRC,2017-07-03 23:19:43.158281,35.31,34.67,830.5,23.98,22.21,0.89,397.03,21.4,1.65,2.95,0.26,0.96,78.5,9.0,24.0,0.17062727272727274
MFIN,2017-07-03 23:19:44.194719,2.33,2.4,58.02,24.28,20.41,0.81,175.14,3.15,0.74,8.58,0.05,30.68,170.94,10.0,49.0,0.03182
MELI,2017-07-03 23:19:44.995950,256.0,254.03,11.08,44.16,39.94,1.53,231.72,71.62,3.5,0.24,0.15,3.73,590.45,5.0,2.0,-0.031900000000000005
MBWM,2017-07-03 23:19:45.553933,32.95,31.51,518.35,16.47,15.96,0.9,202.46,17.43,1.89,2.19,0.18,0.98,38.31,10.0,13.0,0.1426090909090909
MSBI,2017-07-03 23:19:46.255612,33.94,33.82,637.18,15.79,11.5,0.74,286.4,15.08,2.25,2.36,0.2,1.88,76.53,10.0,13.0,-0.051800000000000006
MOFG,2017-07-03 23:19:46.874537,34.85,34.0,413.83,12.21,10.4,0.8,229.77,18.54,1.88,1.89,0.17,0.63,42.66,10.0,13.0,0.20650909090909095
MNDO,2017-07-03 23:19:47.697607,2.465,2.52,48.4,19.29,15.97,0.46,68.48,11.74,0.21,12.98,0.32,0.15,25.85,9.0,68.0,0.0
MKSI,2017-07-03 23:19:48.210813,67.3,68.3,3.64,54.11,53.3,1.15,331.87,24.21,2.78,1.04,0.18,4.1,512.6,8.0,6.0,0.16661999999999996
MINI,2017-07-03 23:19:48.914543,30.8,29.95,1.32,44.2,43.5,1.34,254.06,29.33,1.05,2.95,0.23,7.16,222.0,8.0,69.0,0.15214
MDLZ,2017-07-03 23:19:50.084229,43.2,43.47,65.53,1.52,1.51,0.99,287.58,38.98,1.11,1.76,0.19,1.04,7.29,4.0,21.0,0.5233666666666666
MPWR,2017-07-03 23:19:51.048264,94.24,96.9,3.98,41.27,37.97,1.3,285.47,70.86,1.33,0.85,0.2,3.05,278.24,9.0,86.0,-0.0051066666666666665
NTAP,2017-07-03 23:19:51.613182,39.57,40.44,10.88,270.95,270.55,1.05,545.84,21.86,1.81,2.02,0.2,3.75,3.04,9.0,96.0,0.2975866666666667
NYMT,2017-07-03 23:19:52.191580,6.28,6.23,695.66,111.84,110.22,0.67,18.32,12.31,0.51,12.74,0.2,9.28,796.21,3.0,75.0,0.5764466666666667
NEWS,2017-07-03 23:19:52.715983,10.69,10.53,441.77,42.07,26.29,1.49,4.08,19.09,0.56,0.75,0.02,0.94,86.72,10.0,49.0,0.13144
NXST,2017-07-03 23:19:54.045822,60.6,59.85,2.82,47.22,44.01,1.43,306.57,26.01,2.33,1.98,0.3,12.25,784.65,3.0,67.0,0.05886
NICE,2017-07-03 23:19:54.805995,78.4607,79.11,4.83,60.32,60.27,0.84,225.52,47.75,1.64,0.82,0.16,1.21,163.86,9.0,37.0,0.5527666666666669
NICK,2017-07-03 23:19:55.604896,9.46,9.28,71.85,7.81,7.14,0.48,295.06,13.71,0.69,5.07,0.12,1.54,15.76,10.0,48.0,-0.5065866666666667
OLBK,2017-07-03 23:19:56.602611,28.32,28.4023,308.57,10.95,8.42,0.29,303.74,20.98,1.35,1.13,0.08,0.91,24.06,10.0,13.0,0.12766428571428573
ONB,2017-07-03 23:19:57.218354,17.75,17.35,2.34,135.37,132.58,1.15,247.03,16.33,1.09,2.93,0.13,4.82,946.88,10.0,13.0,-1.538461538461369e-05
OPOF,2017-07-03 23:19:57.987256,34.2,34.82,163.68,4.98,3.92,-0.02,150.68,45.6,0.75,1.29,0.11,0.15,14.53,10.0,13.0,0
OSBC,2017-07-03 23:19:58.661737,12.25,11.65,341.65,29.58,27.26,0.71,224.97,21.49,0.57,0.33,0.01,1.49,115.83,10.0,13.0,0.12176363636363635
ZEUS,2017-07-03 23:19:59.492306,19.47,19.5,213.58,10.96,9.22,1.53,681.72,29.95,0.65,0.41,0.02,2.98,260.63,12.0,69.0,0.026042857142857142
POPE,2017-07-03 23:20:00.269750,74.05,74.0,323.45,4.37,2.99,0.07,1.33,31.38,2.36,3.78,0.7,0.03,1.1,4.0,43.0,0.22628000000000004
BPOP,2017-07-03 23:20:01.309457,42.47,41.83,4.25,101.99,100.24,1.16,273.84,19.94,2.13,2.35,0.25,1.13,493.29,10.0,13.0,0.36906
PCH,2017-07-03 23:20:03.539893,45.95,45.85,1.86,40.61,39.91,0.92,651.89,68.58,0.67,3.26,0.38,3.25,335.02,3.0,75.0,0.03915999999999999
POWL,2017-07-03 23:20:04.407030,32.53,32.16,365.61,11.43,8.64,1.05,205.78,40.16,0.81,3.2,0.26,0.75,29.58,7.0,73.0,0.2525199999999999
POWI,2017-07-03 23:20:05.125341,71.45,73.5,2.16,29.69,28.54,1.26,649.77,39.92,1.79,0.78,0.14,3.02,175.82,9.0,86.0,0.09046666666666667
PLPC,2017-07-03 23:20:05.822335,46.06,46.87,237.58,5.12,2.38,0.84,132.81,16.81,2.74,1.74,0.2,1.54,7.65,12.0,91.0,0.4368
PFBI,2017-07-03 23:20:06.483793,20.93,20.59,219.66,10.66,8.37,0.38,189.62,17.36,1.21,2.87,0.15,0.78,19.63,10.0,13.0,0.0
PSMT,2017-07-03 23:20:07.123122,87.6,87.75,2.66,30.4,20.34,0.93,376.28,29.2,3.0,0.8,0.35,6.4,118.3,3.0,0.0,-0.04668666666666667
PRIM,2017-07-03 23:20:07.896788,25.15,25.03,1.28,51.44,39.71,1.32,268.48,40.56,0.62,0.87,0.06,2.05,184.43,12.0,91.0,0.09994666666666666
PROV,2017-07-03 23:20:08.960941,19.56,19.31,151.92,7.89,6.06,0.5,147.11,22.74,0.86,2.66,0.13,0.65,17.37,10.0,54.0,0.05637333333333334
PBIP,2017-07-03 23:20:09.867803,18.34,18.15,163.74,9.02,8.34,0.2,348.68,246.51,0.07,0.65,0.03,0.59,29.86,10.0,65.0,0.21608461538461537
PMD,2017-07-03 23:20:10.866871,25.15,24.95,136.23,5.46,4.98,0.41,206.42,16.87,1.49,2.39,0.15,0.86,23.86,2.0,12.0,0
QCRH,2017-07-03 23:20:11.494057,48.5,47.55,624.26,13.17,12.2,0.5,254.63,21.0,2.31,0.41,0.05,0.79,46.14,10.0,13.0,0.11305333333333333
QCOM,2017-07-03 23:20:12.109220,54.95,55.53,81.58,1.48,1.47,1.02,762.07,18.32,3.0,4.15,0.57,1.73,11.06,9.0,98.0,0.16451999999999997
RAVN,2017-07-03 23:20:13.038611,33.45,33.45,1.2,36.09,35.79,1.15,321.54,45.2,0.74,1.55,0.13,1.34,171.33,8.0,47.0,-0.04431333333333333
RICK,2017-07-03 23:20:13.751281,22.85,23.61,231.7,9.72,8.98,0.52,67.62,22.85,1.0,0.53,0.03,1.4,84.91,3.0,66.0,0.04674666666666667
RRR,2017-07-03 23:20:14.904617,23.41,23.61,2.77,67.72,66.89,1.02,106.12,26.6,0.88,1.71,0.1,3.56,764.38,3.0,27.0,0.2571666666666667
SIGI,2017-07-03 23:20:15.527931,51.15,50.35,2.92,58.25,56.98,0.96,1.04,17.52,2.92,1.25,0.16,1.33,248.76,10.0,7.0,0.14991999999999997
SNH,2017-07-03 23:20:16.405941,20.68,20.56,4.86,237.54,234.33,0.66,2.35,35.27,0.59,7.54,0.39,2.49,1.65,3.0,75.0,0.5640466666666666
SFBS,2017-07-03 23:20:17.142597,37.57,37.03,1.95,52.83,44.7,0.99,575.43,24.01,1.57,0.53,0.05,8.62,153.88,10.0,13.0,0.12344000000000002
SCVL,2017-07-03 23:20:18.001718,20.65,20.88,360.35,17.23,11.51,0.87,194.91,17.35,1.19,1.45,0.08,8.51,169.15,3.0,38.0,0.32594
SHBI,2017-07-03 23:20:18.850021,16.74,16.48,208.59,12.68,12.42,0.36,190.5,21.19,0.79,1.19,0.05,0.55,32.17,10.0,13.0,0.15539999999999998
SIFI,2017-07-03 23:20:19.682744,16.15,16.15,196.48,12.2,11.09,0.29,231.41,16.65,0.97,1.24,0.05,0.55,26.1,10.0,54.0,0.0
SWKS,2017-07-03 23:20:20.313108,95.05,96.44,17.71,184.53,183.91,1.67,459.33,19.62,4.86,1.17,0.28,3.11,1.88,9.0,86.0,0.39920666666666677
SLM,2017-07-03 23:20:20.948560,11.6,11.54,4.96,431.04,427.16,1.01,937.72,19.66,0.59,1.85,0.05,3.5,3.78,10.0,49.0,0.3056333333333333
SONC,2017-07-03 23:20:21.664525,26.76,26.57,1.12,42.43,40.51,1.07,53.62,17.84,1.5,2.09,0.14,22.22,1.06,3.0,66.0,0.132
SPAR,2017-07-03 23:20:22.544030,8.95,8.85,310.88,35.13,30.38,1.19,266.72,42.62,0.21,1.12,0.05,1.58,173.67,8.0,76.0,0.03753333333333333
SPTN,2017-07-03 23:20:23.710704,26.25,26.2,982.46,37.85,36.85,1.06,534.58,15.91,1.65,2.51,0.17,2.36,218.99,4.0,84.0,-0.09312307692307692
SPOK,2017-07-03 23:20:24.407385,18.0,17.7,363.49,20.54,19.86,0.83,299.18,32.14,0.56,2.78,0.13,2.85,128.5,0.0,92.0,0.34
SSNC,2017-07-03 23:20:25.046377,37.8,38.42,7.83,203.91,171.38,1.19,195.6,45.0,0.84,0.66,0.06,6.26,1.27,9.0,4.0,0.18506666666666666
SBUX,2017-07-03 23:20:25.676684,58.07,58.9,84.44,1.45,1.41,0.97,86.51,28.98,2.01,1.72,0.25,1.77,8.16,3.0,66.0,0.08124
CG,2017-07-03 23:20:26.284041,19.55,19.85,6.46,85.82,84.39,1.23,1.7,24.75,0.79,2.05,0.1,1.4,723.57,10.0,61.0,0.21664
CAKE,2017-07-03 23:20:27.186841,50.44,50.1,2.41,47.96,44.66,0.76,58.9,17.55,2.85,1.92,0.24,18.65,1.02,3.0,66.0,0.28061333333333327
TCFC,2017-07-03 23:20:28.026069,38.43,38.9276,178.72,4.64,3.92,0.13,327.35,21.96,1.75,1.04,0.1,0.16,14.44,10.0,13.0,0.0817
ENSG,2017-07-03 23:20:28.708115,21.92,21.77,1.1,50.7,47.63,0.94,87.95,26.41,0.83,0.78,0.04,5.76,270.17,2.0,59.0,0.04559333333333333
FINL,2017-07-03 23:20:29.571646,14.79,14.19,568.88,40.35,39.34,0.9,147.12,46.89,0.32,2.97,0.11,23.36,1.65,3.0,38.0,0.06198
FBMS,2017-07-03 23:20:30.266802,27.85,27.6,252.37,9.14,8.33,0.17,137.9,21.42,1.3,0.54,0.04,0.94,28.55,10.0,13.0,0.08065833333333333
FLIC,2017-07-03 23:20:31.679514,28.75,28.65,688.75,24.08,21.84,1.0,373.44,21.19,1.36,1.95,0.14,0.66,75.79,10.0,13.0,0.039114285714285706
GT,2017-07-03 23:20:32.558796,34.96,35.14,8.8,251.79,250.74,1.37,229.79,7.39,4.73,1.14,0.1,7.08,2.83,7.0,19.0,0.15734285714285717
HCKT,2017-07-03 23:20:33.526537,15.53,15.53,452.91,29.22,23.85,0.99,269.89,20.17,0.77,1.93,0.15,0.94,213.07,3.0,35.0,-0.14997333333333335
KHC,2017-07-03 23:20:34.580030,84.45,85.96,104.28,1.22,925.58,0.9,640.95,29.95,2.82,2.84,0.6,1.27,2.5,4.0,21.0,0.1276857142857143
NAVG,2017-07-03 23:20:35.410310,54.95,55.15,1.62,29.47,22.39,0.75,1.79,20.5,2.68,0.44,0.06,1.77,75.81,10.0,7.0,0.22083999999999995
YORW,2017-07-03 23:20:36.178187,35.25,34.9,447.61,12.84,12.71,0.75,453.3,37.94,0.93,1.82,0.16,1.26,41.23,0.0,91.0,0.12710666666666665
TTS,2017-07-03 23:20:36.934577,20.55,20.9,1.07,51.64,34.3,1.04,228.99,54.08,0.38,0.97,0.05,9.97,328.69,3.0,33.0,-0.11004285714285714
TSBK,2017-07-03 23:20:37.736325,25.39,25.2,185.71,7.35,6.1,0.25,178.68,15.97,1.59,1.73,0.11,0.16,29.31,10.0,65.0,0.2250333333333333
TRST,2017-07-03 23:20:38.265947,7.9,7.75,744.12,96.02,92.83,1.04,224.69,17.56,0.45,3.32,0.07,0.65,283.3,10.0,13.0,0.29564166666666664
TRMK,2017-07-03 23:20:39.092911,32.71,32.29,2.18,67.73,61.2,1.11,217.87,19.59,1.67,2.81,0.23,5.11,326.1,10.0,13.0,0.11671666666666668
UBSH,2017-07-03 23:20:39.718187,34.88,34.12,1.48,43.7,42.79,0.98,264.8,19.06,1.83,2.29,0.2,4.03,175.52,10.0,13.0,0.21343571428571426
UNB,2017-07-03 23:20:40.399762,48.15,48.25,211.94,4.46,3.47,0.21,195.89,24.69,1.95,2.41,0.29,4.07,5.48,10.0,13.0,0.21343571428571426
UBCP,2017-07-03 23:20:41.493381,11.7,11.7,66.19,5.43,4.59,-0.03,189.72,17.18,0.71,3.61,0.11,0.12,3.94,10.0,13.0,0.4883266666666667
UCBA,2017-07-03 23:20:42.370412,18.95,18.95,79.55,4.2,3.5,0.13,172.15,23.69,0.8,1.9,0.09,0.05,3.79,10.0,54.0,0.4215
UCBI,2017-07-03 23:20:43.075236,28.31,27.94,1.97,70.96,65.88,1.13,231.0,19.94,1.42,1.27,0.09,2.08,406.17,10.0,13.0,0.38637499999999997
UCFC,2017-07-03 23:20:43.900871,8.58,8.32,412.88,49.69,48.14,0.98,223.25,23.99,0.36,1.4,0.03,0.55,107.69,10.0,65.0,0.5317000000000001
UBNK,2017-07-03 23:20:44.645386,17.21,16.75,847.15,50.76,49.87,0.77,343.99,16.87,1.02,2.79,0.12,1.24,127.9,10.0,65.0,0.5368428571428572
UFCS,2017-07-03 23:20:45.454844,44.64,44.23,1.11,25.21,21.29,1.09,1.06,24.39,1.83,2.51,0.28,0.49,74.85,10.0,7.0,0.22160000000000002
UIHC,2017-07-03 23:20:46.291426,16.25,15.83,672.43,42.75,23.74,0.95,3.01,54.17,0.3,1.48,0.06,5.94,164.26,10.0,7.0,0.6639888888888889
UBFO,2017-07-03 23:20:47.067625,9.5,9.5,156.09,16.88,13.68,0.11,266.94,22.62,0.42,2.11,0.05,0.13,41.43,10.0,13.0,0.6642666666666666
USLM,2017-07-03 23:20:47.707333,78.53,78.06,437.78,5.58,2.02,0.77,441.9,23.94,3.28,0.69,0.14,1.35,7.85,12.0,17.0,0.4215
UG,2017-07-03 23:20:48.475819,15.1,15.1,70.99,4.59,2.81,0.37,342.45,25.59,0.59,5.56,0.42,0.29,4.29,4.0,81.0,0.08227999999999999
UNTY,2017-07-03 23:20:49.197613,17.4,17.345,181.2,10.54,7.59,0.19,296.01,14.03,1.24,1.38,0.06,0.41,25.56,10.0,13.0,0.0
OLED,2017-07-03 23:20:49.849508,108.0,109.9,5.14,47.03,41.51,1.63,1.11,90.54,1.2,0.11,0.03,9.51,882.55,8.0,73.0,-0.04941428571428571
UFPI,2017-07-03 23:20:50.918290,88.74,87.57,1.79,20.52,19.92,1.3,366.07,17.63,5.03,1.01,0.45,1.62,133.09,12.0,71.0,-0.045457142857142856
ULH,2017-07-03 23:20:51.788289,15.4,15.0,426.65,28.44,8.25,1.16,174.79,20.53,0.75,1.82,0.07,1.09,21.74,11.0,90.0,-0.039384615384615386
UVSP,2017-07-03 23:20:52.496823,30.3,30.25,798.5,26.66,25.73,0.9,234.16,32.16,0.94,2.64,0.2,1.55,90.91,10.0,13.0,0.13504545454545455
VRTS,2017-07-03 23:20:53.257524,111.1,111.8,775.43,6.99,6.7,1.37,819.3,17.21,6.46,1.62,0.45,9.82,50.77,10.0,61.0,0.19087142857142858
VSEC,2017-07-03 23:20:53.993827,46.19,45.8,487.49,10.84,8.53,1.12,295.46,18.26,2.53,0.61,0.07,1.23,33.65,3.0,79.0,0.148
WBA,2017-07-03 23:20:54.409401,78.0268,78.52,83.8,1.08,933.78,0.95,324.17,19.68,3.97,1.92,0.38,1.09,4.83,2.0,25.0,0.07658000000000002
WAFD,2017-07-03 23:20:55.399043,33.75,33.3,2.97,89.44,88.42,1.05,324.14,17.86,1.89,1.78,0.15,4.07,429.02,10.0,13.0,0.13197999999999996
WASH,2017-07-03 23:20:56.193076,52.35,51.85,886.97,17.21,14.78,0.99,335.18,19.11,2.74,2.9,0.38,2.94,40.74,10.0,13.0,0.5520692307692309
WFBI,2017-07-03 23:20:56.811502,35.12,34.5,446.54,12.12,9.19,0.31,410.82,24.83,1.41,0.8,0.07,0.54,60.31,10.0,13.0,0.0
WSBF,2017-07-03 23:20:57.594195,19.25,18.9193,553.93,29.39,23.66,0.64,218.23,18.69,1.03,2.49,0.12,2.09,78.44,10.0,54.0,0.0
WCFB,2017-07-03 23:20:58.186134,10.33,10.33,27.04,2.56,2.37,0.43,214.17,179.82,0.06,1.95,0.05,0.12,1.46,10.0,13.0,0
WDFC,2017-07-03 23:20:59.035175,111.7,110.6,1.55,14.06,13.58,0.85,852.51,31.38,3.56,1.75,0.49,11.49,71.64,12.0,29.0,0.33046000000000003
WEBK,2017-07-03 23:20:59.730072,26.6,27.7,68.83,2.49,1.86,0.11,372.14,20.62,1.29,0.75,0.05,0.04,1.5,10.0,65.0,0.0
WTFC,2017-07-03 23:21:00.254408,78.29,76.78,4.25,51.67,50.88,1.04,297.15,20.82,3.76,0.72,0.14,3.04,595.48,10.0,13.0,0.018213333333333335
WETF,2017-07-03 23:21:00.809680,10.31,10.25,1.39,136.61,114.0,2.2,1.02,64.44,0.16,3.1,0.08,23.69,2.47,10.0,45.0,0.10630666666666663
WWD,2017-07-03 23:21:01.715135,67.88,67.87,4.14,61.27,55.19,1.28,300.19,21.69,3.13,0.74,0.13,2.89,301.57,1.0,6.0,-0.11110666666666666
